ID,MAX SPEED,MAX SPEED DATE TIME,MIN SPEED,TRAFFIC TOTAL UPPER ERROR LIMIT,TRAFFIC TOTAL LOWER ERROR LIMIT,TRAFFIC TOTAL UPPER WARNING LIMIT,TRAFFIC TOTAL LOWER WARNING LIMIT
4624,25 Mbit/s,17-03-2024 02:23,0.04 Mbit/s,800,not_set,700,not_set
4630,25 Mbit/s,17-03-2024 02:23,0.04 Mbit/s,800,not_set,700,not_set
9775,3.66 Mbit/s,17-03-2024 06:12,0.09 Mbit/s,800,not_set,700,not_set
9779,3.68 Mbit/s,17-03-2024 06:13,0.09 Mbit/s,800,not_set,700,not_set
4518,8 Mbit/s,17-03-2024 01:01,5.37 Mbit/s,800,not_set,700,not_set
4533,5.31 Mbit/s,17-03-2024 01:01,0.02 Mbit/s,800,not_set,700,not_set
4552,3.50 Mbit/s,17-03-2024 03:01,0.22 Mbit/s,800,not_set,700,not_set
4564,2.36 Mbit/s,17-03-2024 01:00,0.03 Mbit/s,800,not_set,700,not_set
4579,1.08 Mbit/s,17-03-2024 06:57,0.11 Mbit/s,800,not_set,700,not_set
4598,0.39 Mbit/s,17-03-2024 04:31,0.03 Mbit/s,800,not_set,700,not_set
4610,1.38 Mbit/s,17-03-2024 01:00,0.04 Mbit/s,800,not_set,700,not_set
4616,1.24 Mbit/s,17-03-2024 01:00,0.01 Mbit/s,800,not_set,700,not_set
4643,,,,not_set,not_set,not_set,not_set
4654,,,,not_set,not_set,not_set,not_set
7947,,,,8000,not_set,7000,not_set
10707,53 Mbit/s,17-03-2024 05:48,< 0.01,800,not_set,700,not_set
10018,< 0.01,17-03-2024 03:20,< 0.01,800,not_set,700,not_set
10012,< 0.01,17-03-2024 03:21,< 0.01,800,not_set,700,not_set
9968,4.16 Mbit/s,17-03-2024 05:37,0.01 Mbit/s,800,not_set,700,not_set
8526,2.03 Mbit/s,17-03-2024 01:11,< 0.01,800,not_set,700,not_set
7707,0.36 Mbit/s,17-03-2024 00:03,< 0.01,800,not_set,700,not_set
4611,94 Mbit/s,17-03-2024 01:15,12 Mbit/s,500,not_set,400,not_set
4617,< 0.01,17-03-2024 06:12,< 0.01,500,not_set,400,not_set
4704,26 Mbit/s,17-03-2024 05:37,0.06 Mbit/s,500,not_set,400,not_set
4644,,,,500,not_set,400,not_set
4655,,,,500,not_set,400,not_set
