ID,MAX SPEED,MAX SPEED RAW,MAX SPEED DATE TIME,MIN SPEED,MIN SPEED RAW,MIN SPEED DATE TIME,THRESHOLD MESSAGE (MAX),THRESHOLD MESSAGE (MIN),DISCARD IN UPPER ERROR LIMIT,DISCARD IN LOWER ERROR LIMIT,DISCARD IN UPPER WARNING LIMIT,DISCARD IN LOWER WARNING LIMIT,DISCARD OUT UPPER ERROR LIMIT,DISCARD OUT LOWER ERROR LIMIT,DISCARD OUT UPPER WARNING LIMIT,DISCARD OUT LOWER WARNING LIMIT,ERROR IN UPPER ERROR LIMIT,ERROR IN LOWER ERROR LIMIT,ERROR IN UPPER WARNING LIMIT,ERROR IN LOWER WARNING LIMIT,ERROR OUT UPPER ERROR LIMIT,ERROR OUT LOWER ERROR LIMIT,ERROR OUT UPPER WARNING LIMIT,ERROR OUT LOWER WARNING LIMIT,TRAFFIC TOTAL UPPER ERROR LIMIT,TRAFFIC TOTAL LOWER ERROR LIMIT,TRAFFIC TOTAL UPPER WARNING LIMIT,TRAFFIC TOTAL LOWER WARNING LIMIT
9166,605 Mbit/s,75633155.1146,12-03-2024 23:26:32,77 Mbit/s,9648490.0483,12-03-2024 23:36:32,MAX SPEED for ID 9166 is within both Upper Error Limit(8000.0 Mbit/s) and Upper Warning Limit(7000.0 Mbit/s),not_set,2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,8000.0,not_set,7000.0,not_set
9246,"3,472 Mbit/s",434047263.0772,12-03-2024 23:38:48,,,,,"Error processing CSV data for ID 9246: could not convert string to float: '3,472'",2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,16000.0,not_set,10000.0,not_set
9167,514 Mbit/s,64269969.4014,12-03-2024 23:26:57,2.62 Mbit/s,327406.1521,12-03-2024 23:16:57,MAX SPEED for ID 9167 is within both Upper Error Limit(8000.0 Mbit/s) and Upper Warning Limit(7000.0 Mbit/s),not_set,2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,8000.0,not_set,7000.0,not_set
9247,"11,874 Mbit/s",1484230563.8106,12-03-2024 22:13:40,,,,,"Error processing CSV data for ID 9247: could not convert string to float: '11,874'",2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,16000.0,not_set,10000.0,not_set
9168,66 Mbit/s,8209718.5771,12-03-2024 23:21:29,1.04 Mbit/s,129651.5581,12-03-2024 18:14:29,MAX SPEED for ID 9168 is within both Upper Error Limit(8000.0 Mbit/s) and Upper Warning Limit(7000.0 Mbit/s),not_set,2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,8000.0,not_set,7000.0,not_set
9248,"8,513 Mbit/s",1064101156.5022,12-03-2024 22:13:06,,,,,"Error processing CSV data for ID 9248: could not convert string to float: '8,513'",800,not_set,700,not_set,2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,16000.0,not_set,10000.0,not_set
9249,"4,104 Mbit/s",512983460.21,12-03-2024 21:57:01,,,,,"Error processing CSV data for ID 9249: could not convert string to float: '4,104'",2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,16000.0,not_set,10000.0,not_set
9169,556 Mbit/s,69555322.4742,12-03-2024 22:56:12,17 Mbit/s,2083710.7887,12-03-2024 20:42:12,MAX SPEED for ID 9169 is within both Upper Error Limit(8000.0 Mbit/s) and Upper Warning Limit(7000.0 Mbit/s),not_set,2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,8000.0,not_set,7000.0,not_set
9250,0.02 Mbit/s,2671.0075,12-03-2024 21:40:50,0.02 Mbit/s,2535.8239,12-03-2024 19:03:50,MAX SPEED for ID 9250 is within both Upper Error Limit(16000.0 Mbit/s) and Upper Warning Limit(10000.0 Mbit/s),not_set,2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,16000.0,not_set,10000.0,not_set
9170,"1,469 Mbit/s",183619794.7702,12-03-2024 23:22:08,,,,,"Error processing CSV data for ID 9170: could not convert string to float: '1,469'",2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,8000.0,not_set,7000.0,not_set
